"ADDRESS","TOWN_DESC","ZIP_CODE","ZIP_CODE_4","NO_BEDROOMS","BTH_DESC","SALE_PRICE","SETTLED_DATE","SQUARE_FEET","TOTAL_BLDG_SF_CI","LOT_SIZE","YEAR_BUILT","PROP_TYPE","STYLE_SF","GARAGE_SPACES_SF","PARKING_SPACES_SF","MARKET_TIME","LIST_PRICE","PRICE_PER_SQFT","HEATING_SF","SITE_CONDITION_CI","REMARKS","FIRM_RMK1","RSU_UNITS_CI","SALE_OFFICE","MAIN_SO","SALE_AGENT","LIST_AGENT","COUNTY","LIST_OFFICE","STREET_NAME","STREET_NUM","NO_HALF_BATHS","COOLING_CC","COL_COMMON_MF","COOLING_SF","HEA_COMMON_MF","HTE_MF","HEATING_CC","GARAGE_SPACES_CC","TOTAL_PARKING_CC","PARKING_SPACES_MF","PARKING_SPACES_CC","TOTAL_PARKING_SF","TOTAL_PARKING_MF","CONSTRUCTION_SF","CONSTRUCTION_MF","CONSTRUCTION_CC","STATUS","STATUS_DATE","CONTINGENCY_TYPE","TAXES","TAX_YEAR","REQD_OWN_ASSOCIATION_MH","REQD_OWN_ASSOCIATION_SF","REQD_OWN_ASSOCIATION_LD","ASSESSMENTS","ASSESSED_VALUE_BLDG_CI","ASSESSED_VALUE_LAND_CI","TOTAL_ASSESSED_VALUE_CI","PHOTO_DATE","INTERIOR_FEATURES_SF","IFE_COMMON_MF","INTERIOR_FEATURES_CC","CSO_ListDate","ACTIVE_STATUS_FLAG_DATE","LIST_DATE","OFF_MKT_DATE","OFFER_DATE","CTG_EXPIRY_DATE"
"439 Neponset St. U:B","Norwood, MA","02062",,2,"2f 1h",925000.00,"11/18/2022",2660,,,2022,"CC",,,,0,950000.00,347.74,,,"*LUXURY CONDOS- 2022 NEW CONSTRUCTION* Welcome to ""Neponset Street Norwood Condominium""! Remarkably fresh OVERSIZED 2-bedroom + 2.5-bathroom Corner Unit (great 3rd bd option)! Boasting 2,660 SF +/-, with beaming hardwoods & incredible STORAGE throughout. Attached 2-CAR GARAGE + FINISHED BASEMENT! Sun-filled Family Room with sliding glass door, leading to a private back deck & outdoor space. Chef's Kitchen with large center island, overhead pendant lighting, SS appliances, beautiful stone countertops, ample cabinetry & recessed lighting! TWO Home Offices- one on each level (great flex rooms / 3rd bd option). Luxurious Master Suite offering a huge walk-in closet and custom fit organizing system. Massive en-suite bath with deep, free-standing soaking tub, a beautifully tiled shower with glass doors, linen closet & private toilet area. 2nd floor Laundry Room. Natural Gas & Central AC. EXCELLENT COMMUTER LOCATION! Only 1.5 miles from Norwood Central MBTA & easy access to I-95, I-93 & I-495.","$1,700.00 basement flooring allowance provided by builder.",,"AN0394","AN0394","TM350904","CN213599","Norfolk","AN4877","Neponset St.",439,1,"Central Air",,,,,"Forced Air",2,3,,1,0,0,,,"Frame","SLD",11/18/2022 2:42:00 PM,,0.00,"2021",,,,0,,,,9/23/2022 3:01:00 PM,,,"Cable Available",,,"09/23/2022","09/23/2022","09/23/2022",
"211 Central Street U:206","Norwood, MA","02062",,2,"2f 0h",410000.00,"11/15/2022",1111,,,2004,"CC",,,,78,425000.00,369.04,,,"Welcome to "" The Crossings"" one of the most sought after and convenient complexes right in the heart of Norwood. This unit has been beautifully cared for by it's current owner. Great layout -feels bigger that it's sq footage! Large living room with dining area~ granite counter topped kitchen with breakfast bar~ Master bedroom with full bathroom and roomy second bedroom with easy access to main bathroom. Laundry right in the unit with full size washer and dryer. Extra storage right across the hallway. This complex also has an in-ground pool and club house with wonderful entertaining space ~ full kitchen, living room and banquet size dining area. There is also a well-equipped gym. So much to offer! All this right in the town close to public transportation, major routes, shopping etc....Call listing broker with any further questions! A delight to show!","This is a great unit. Seller has lived here for 15 years and really enjoyed it. Washer/Dryer and refrigerator are included",,"AN6201","AN6181","BB980284","BB300189","Norfolk","AN6243","Central Street",211,0,"Central Air",,,,,"Forced Air, Gas",1,1,,0,0,0,,,,"SLD",11/16/2022 1:40:00 PM,"Pending P&S",3607.00,"2022",,,,335500,,,,9/8/2022 10:06:00 AM,,,,,,"08/11/2022","10/27/2022","10/13/2022","10/27/2022"
"51 Concord Ave U:51","Norwood, MA","02062",,3,"2f 0h",450000.00,"11/15/2022",1337,,,1901,"CC",,,,30,460000.00,336.57,,,"Opportunity knocks...great investor or owner occupied duplex style townhouse, on DEAD END STREET, yet close to commuter rail. BUSLINE at end of street. This well maintained townhouse with TWO LEVELS of living space plus basement, has plenty of space for the growing family. It features a large livingroom, formal dining room and updated kitchen. First floor bathroom and  separate laundry room. Second floor has three spacious bedrooms and second bathroom with tiled shower stall. Full unfinished basement for plenty of storage. Gas heat and cooking. All replacement windows. 100 amp electric.Single family living with its own large separate fenced yard. Low condo fee. Great location. Short distance to elementary and middle school, community pool, restaurants, stores. Short drive to beautiful scenic Bird Park for hiking, tennis court, playground and trails. Easy acces to RT 128/95 to Boston and Rhode Island.","",,"AN6243","AN6181","CN203367","BB980284","Norfolk","AN6201","Concord Ave",51,0,"Window AC",,,,,"Forced Air, Gas",0,4,,4,0,0,,,"Frame","SLD",11/17/2022 1:37:00 PM,"Financing",3463.00,"2022",,,,322100,,,,9/8/2022 7:29:00 AM,,,,,,"09/08/2022","10/07/2022","09/19/2022","10/07/2022"
"65 Winslow Ave U:1","Norwood, MA","02062",,3,"1f 0h",460000.00,"12/05/2022",1335,,,1920,"CC",,,,16,449900.00,344.57,,,"Hard to find large three bedroom Unit in very convenient in-town location. with low condo fee. It features an open floor plan.. living room is bright and light with lots of windows, opens to spacious dining room with hutch.  Updated  kitchen with breakfast bar, ss appliances, white cabinets and granite counter tops, gas cooking.  Renovated updated bathroom with new tub and vanity. Central air. Hardwood floors throughout, and plenty of closet space! **High Efficiency Furnace and A/C  2010** Brand new roof**. Unit insulated thru Mass Save 2014.   Two parking spaces  one space is covered), The private basement with direct access, has laundry hook ups, play area and tons of extra storage. Shared front entry but private use of front porch. Mud room leads to Large backyard...great for bbqs, and Summer fun. Minutes to bus line, train, hospital, tot lot, library and Norwood's vibrant center","Showings begin at open house on Sunday from 11-1",,"A14006","A14050","TM344472","BB980284","Norfolk","AN6201","Winslow Ave",65,0,"Central Air",,,,,"Forced Air, Oil",1,2,,1,0,0,,,,"SLD",12/8/2022 9:21:00 AM,,3192.00,"2022",,,,296900,,,,10/20/2022 9:28:00 AM,,,,,,"10/20/2022","11/05/2022","11/05/2022",
"251 Rock St U:B11","Norwood, MA","02062",,1,"1f 0h",257000.00,"11/28/2022",704,,,1966,"CC",,,,4,255000.00,365.06,,,"Convenient location to everything!  This one bedroom unit is ready to move right in!  Nicely maintained complex and condo fee includes heat, hot water and more!  Enjoy summer relaxing in the outdoor pool… A feature that many complexes don’t have.  Common, on-site laundry and walk in storage unit in lower level.  One assigned parking space,  as well as visitor and street parking for guests.  Easy access to all major routes. Close proximity to Grade School, Town Center, Restaurants and Shops!","",,"Bb9376","BB9376","Bb980707","BB980707","Norfolk","BB9376","Rock St",251,0,"Window AC",,,,,"Hot Water Baseboard, Gas",0,1,,1,0,0,,,"Brick","SLD",11/30/2022 3:35:00 PM,,2210.00,"2022",,,,205600,,,,10/24/2022 12:59:00 PM,,,,,,"10/24/2022","10/28/2022","10/28/2022",
"60 Lenox U:3","Norwood, MA","02062",,2,"2f 1h",750000.00,"11/29/2022",2300,,,2018,"CC",,,,22,760000.00,326.09,,,"Absolutely Gorgeous 4 year old Townhome Located in Sought after Lenox Village, Walking Distance to Train, Restaurants, Shopping & Norwood Center. This Fantastic Home will Not Disappoint with an Open Floor Plan with Spacious Family Room w/ Fireplace, Bright and Cheery Kitchen w/ Quartz Countertops, Subway Backsplash, Soft Close Cabinets, Stainless Steel Appliances, Peninsula and Large Dining Area.  2nd floor Incorporates 2 Very Generous  Bedrooms, 2 Beautifully Finished Bathrooms, 2nd Floor Laundry and Ample Closet Space. Walkout Basement Finished, Perfect for 2nd Family Room or Large Office. Generous 1 car garage complete this Gem. Walking Distance to Train, Shopping & Restaurants!!","",,"AC1531","AC1531","B8000305","CN229862","Norfolk","AN4886","Lenox",60,1,"Central Air",,,,,"Central Heat",1,3,,2,0,0,,,"Frame","SLD",11/29/2022 6:01:00 PM,,6221.00,"2022",,,,578700,,,,10/2/2022 4:47:00 AM,,,,,,"10/02/2022","10/24/2022","10/24/2022",
"49 Bayberry Drive U:1","Sharon, MA","02067",,1,"1f 0h",272000.00,"11/17/2022",695,,,1972,"CC",,,,19,269900.00,391.37,,,"Beautifully updated  1 bedroom FIRST FLOOR condo in the desired SHARON GREEN Condominium Community. Beautifully updated GRANITE eat in kitchen with stainless appliances. Other features include Hardwood flooring and replacement windows. Large living / Dining area with sliders to private porch. Oversized main bedroom with large closets. Laundry and additional storage in the building. Condo fee includes heat, hot water, central AC, electricity as well as snow removal, landscaping and use of in-ground pool and tennis court. Excellent location close to shopping and restaurants in Cobbs Corner, major highway routes and commuter rail station to Boston and Providence. Nothing to do but move in.","Contact Seth Stollman at seth.stollman@kw.com or ShowingTime to set up your private showing. Offers, if any, will be presented Monday 10/10 at 5pm.",,"AN6234","AN6181","CN227959","BB803641","Norfolk","AN5517","Bayberry Drive",49,0,"Central Air",,,,,"Forced Air, Gas",0,1,,1,0,0,,,"Brick","SLD",11/20/2022 10:56:00 PM,"Financing",3555.00,"2022",,,,180000,,,,10/6/2022 4:45:00 PM,,,"Cable Available",,,"10/06/2022","10/24/2022","10/10/2022","10/24/2022"
"12 Larason Farm Rd U:12","Sharon, MA","02067","1366",2,"3f 1h",525000.00,"11/14/2022",2332,,,1985,"CC",,,,63,539900.00,225.13,,,"Relocating Seller has Value-Priced this well-maintained Townhouse in move-right-in condition! Easy-Living! Imagine not having to do any landscape work, exterior maintenance, snow plowing or shoveling: ALL TAKEN CARE OF FOR YOU HERE. Sun-splashed floor plan offers lots of living space, including a professionally finished walk-out lower level w/additional full bathroom/home office/FR. Updated eat-in kitchen w/granite & SS appliances/gas cooking; Open Dining Room with direct access to private sundeck overlooking spacious greenspace surrounded by wooded privacy. Impressive Fireplaced LR features vaulted ceiling & skylight. Main bedroom offers en-suite bathroom, walk-in closet plus a cozy home office space. Wonderful location convenient to local shopping & restaurants at Cobbs Corner, renowned Crescent Ridge Dairy, close to commuter train stations in Sharon & Canton. Take advantage of Sharon's award-winning/highly ranked schools!","All offers subject to approval by TRC Global Mobility, Inc; Pre-approval or Proof of Funds required; Seller to be named as: TRC Global Mobility, Inc and/or its assigns. Please allow 2 bus days for response for any offers. TRC Global Mobility addendum & Seller Condition Disclosure to accompany offer",,"NB3534","NB3534","CN242940","BB904925","Norfolk","AN1946","Larason Farm Rd",12,1,"Central Air",,,,,"Forced Air, Gas",1,3,,2,0,0,,,"Frame","SLD",11/15/2022 8:17:00 AM,,7586.00,"2022",,,,384100,,,,7/28/2022 6:16:00 PM,,,"Security System, Cable Available",,,"07/28/2022","09/29/2022","09/29/2022",
"12 Teal Cir U:12","Walpole, MA","02081","4349",2,"1f 1h",400000.00,"12/02/2022",1488,,,1992,"CC",,,,13,405000.00,268.82,,,"Opportunity to renovate this Bristol style townhouse to your taste. It is a spacious 2 bed townhouse in The Village at Swan Pond. This community offers 2 swimming pools, tennis court, pickleball, and a clubhouse available for rent for special parties. The living room has a wood-burning fireplace and slider to private patio overlooking a small pond. There is also a half bath on the first floor. The bedrooms and washer/dryer are on the second floor. The main bedroom is connected to the full bath and has a large closet. For additional storage there is a pull-down staircase to the attic. Natural gas furnace to keep you warm in winter and central AC for those hot summer days. You will love the in-ground pools and tennis court/pickle ball. A great community with easy access to the commuter rail (T).","See Offer Guidelines attached. Buyer and agent to perform their own due-diligence. If buyer requires a condo questionnaire completed, it is the responsibility of the buyer. Please allow 24 hours for review of offer. Seller reserves right to accept an offer at anytime.",,"AC0844","AC0844","CN208889","BB300935","Norfolk","BB0870","Teal Cir",12,1,"Central Air",,,,,"Forced Air, Gas",1,3,,2,0,0,,,,"SLD",12/5/2022 12:20:00 PM,"Inspection",5104.00,"2022",,,,353000,,,,10/22/2022 2:21:00 PM,,,"Cable Available",,,"10/12/2022","10/25/2022","10/24/2022","11/06/2022"
"222 School St U:2","Walpole, MA","02081",,2,"1f 0h",255000.00,"12/02/2022",865,,,1964,"CC",,,,16,255000.00,294.80,,,"OPEN HOUSE CANCELLED. OFFER HAS BEEN ACCEPTED. Open concept 2 bed condo with updated kitchen with granite counters Newer appliances and peninsula breakfast bar, full bath, tile and hardwood throughout. In-building laundry, deeded parking and guest parking, all New Harvey windows (2021).  Nicely located just outside Walpole Center offering many restaurants, shops, playground nearby and town pool. Convenient to major highways and Commuter rail nearby (.5 miles). Just needs some minor cosmetic improvements and it will be perfect!","",,"BB0125","BB0125","TM305682","TM305682","Norfolk","BB0125","School St",222,0,"Window AC, Wall AC",,,,,"Electric Baseboard, Electric",0,1,,1,0,0,,,"Frame","SLD",12/5/2022 3:58:00 PM,"Pending P&S",2662.00,"2022",,,,184100,,,,10/5/2022 12:05:00 PM,,,"Cable Available",,,"10/04/2022","10/20/2022","10/07/2022","10/20/2022"
"10 Mallard Lane U:10","Walpole, MA","02081",,2,"2f 1h",489900.00,"11/22/2022",1572,,,1985,"CC",,,,16,489900.00,311.64,,,"This spacious townhome is one of the larger Devonshire models in the Swan Pond neighborhood.  Close proximity to commuter rail and multiple highways make for an easy commute.The first floor has an inviting entry, a half bath and an open floor plan. The newly painted rooms include the fireplaced living room, which overlooks the patio and the pond as well as the adjacent dining area.  Perfect for easy living and gracious entertaining.  The well designed kitchen features upgraded cabinets, stainless steel appliances, granite counter tops and a breakfast bar. The second floor features two large bedrooms, 2 baths and a laundry area. There is also a bright and open loft area, currently used as a home office but the space lends itself to many possibilities. The attached garage is heated. The complex offers many amenities, an in ground pool, tennis courts, a clubhouse and many walking trails. Located close to the downtown, shops and restaurants are within easy reach    open house -10/30 CANCEL","",,"AN5822","AN5822","CN204201","BB903786","Norfolk","M95356","Mallard Lane",10,1,"Central Air",,,,,"Central Heat, Forced Air, Gas, Unit Control",1,2,,1,0,0,,,"Frame","SLD",12/8/2022 10:27:00 AM,"Pending P&S",4825.00,"2022",,,,333700,,,,10/27/2022 1:01:00 PM,,,"Cable Available",,,"10/27/2022","11/11/2022","10/28/2022","11/11/2022"
"8 Teal Circle U:8","Walpole, MA","02081",,2,"1f 1h",415000.00,"11/17/2022",1488,,,1990,"CC",,,,19,429000.00,278.90,,,"Showings begin at 1st OH Sat & Sun,10/22 & 23 from 12-2. Amazing location within desireable Village at Swan Pond. This 2 level townhome offers 1 car attached garage, central air and gas heat. Main level with sunny open floorplan featuring fireplaced Living Room and sliders leading to private patio with commanding views of the pond. Kitchen adjacent to Formal Dining Room, convenient 1/2 bath. Upstairs are 2 Bedrooms, primary connects to Hollywood bath, 2nd level stackable washer/dryer (convey). Lovely loft space for in-home office/flexible space. Come make this home your own - updates needed, but seller has maintained systems, water heater 2012, updated furnace (2013) with maintenance plan in place, new garage door, 2nd level with Newpro triple pan windows - quick close possible. 2 swimming pools, tennis courts and club room available for event rental! Come see all the town of Walpole has to offer - great dining, shopping and quick access to major routes, please minutes to commuter rail","Declaration of trust document is too large to upload - ask agent to send copy. To submit an offer, please find offer instructions sheet attached. Sellers attorney to hold deposit (not Redfin)",,"AN4886","AN6527","BB801592","BB805535","Norfolk","NB3534","Teal Circle",8,1,"Central Air",,,,,"Forced Air, Gas",1,2,,1,0,0,,,"Frame","SLD",11/17/2022 3:58:00 PM,"Financing",5104.00,"2022",,,,353000,,,,10/20/2022 12:26:00 PM,,,,,,"10/20/2022","11/08/2022","10/26/2022","11/12/2022"
"74 Abbey Road U:74","Westwood, MA","02090",,2,"2f 1h",1388816.00,"12/01/2022",2424,,505296.00,2020,"CC",,,,63,1195000.00,572.94,,,"Welcome to The Homes at 45, an Exceptional over 55 community nestled in the heart of Westwood. Enter this Award Winning Fresco 2 Home from the welcoming Farmers Porch & you will be swept away! The Open Floor Plan features a Chef's Designer Kitchen with center island, custom cabinetry, stone counters & pantry; dining room; great room with gas fireplace & den. The luxurious Master Suite features a vaulted ceiling, walk-in closets, ensuite bath w/ double vanity & tiled walk-in shower with bench seat. Upper level offers loft/office, generous guest bedroom & full bath. You will love the Screened Porch & Private Outdoor Courtyard in this California style contemporary home, which presents a wonderful balance of Comfort & Sophistication as it allows you to embrace multiple Outdoor Entertaining amenities! Attached 2 car garage, full lower level. If you are ready to rightsize, schedule an appointment for a private tour of these thoughtfully designed, conveniently located homes today!","Call Elaine Patterson @ 781-752-9181 or Jill Kelly @ 781-726-0447. The Homes are a pleasure to show! On Site Design Center for ease of making personalized selections. Commission based on Base Price NOT including upgrades. Broker must register & attend all visits with Buyer. Delivery 2022.",,"AN6243","AN6181","CT005321","BB954682","Norfolk","AN6243","Abbey Road",74,1,"Central Air",,,,,"Forced Air, Gas",2,4,,2,0,0,,,"Frame","SLD",12/11/2022 12:03:00 PM,,0.00,"2020",,,,0,,,,1/19/2021 9:36:00 AM,,,"Cable Available",,,"01/19/2021","03/23/2021","03/23/2021",
"298 Washington St U:206","Westwood, MA","02090",,2,"2f 0h",820000.00,"11/18/2022",1294,,,2022,"CC",,,,214,839900.00,633.69,,,"Welcome to the brand new Steeple at Islington Village Condominiums located in the center of Islington and ready for occupancy.  18 custom designed and beautifully fitted condominium units featuring a stunning open floor plan including sunny living rooms with in-wall electric fireplace, gourmet kitchens with high quality, custom cabinetry, Wolf stove, Sub Zero refrigerator, quartz counters and backsplash and recessed lighting. Gorgeous master suites with walk-in closets, oversized master baths with soaking tubs, walk-in showers, double vanities and beautiful quartz and stone detail.  Spacious second bedroom and guest bath. Other high-quality features include engineered flooring, ship-lap accent walls, video entrance monitoring, central ac, in unit washer/dryer, quality lighting, 9' ceilings, private storage area and 2 car garage-under parking.  Walking distance to local restaurants, coffee shops, gym, train stop, park and highly desired Westwood Schools.","",,"AN6243","AN6181","BB300189","BB902211","Norfolk","BB0960","Washington St",298,0,"Central Air",,,,,"Forced Air, Gas",2,2,,0,0,0,,,,"SLD",1/3/2023 6:28:00 AM,,0.00,"2022",,,,0,,,,3/5/2022 8:05:00 AM,,,"Security System, Intercom, Elevator",,,"03/04/2022","10/04/2022","10/04/2022",
"298 Washington St U:203","Westwood, MA","02090",,2,"2f 0h",800000.00,"11/28/2022",1240,,,2022,"CC",,,,228,809900.00,645.16,,,"Welcome to the brand new Steeple at Islington Village Condominiums located in the center of Islington and ready for occupancy.  18 custom designed and beautifully fitted condominium units featuring a stunning open floor plan including sunny living rooms with in-wall electric fireplace, gourmet kitchens with high quality, custom cabinetry, Wolf stove, Sub Zero refrigerator, quartz counters and backsplash and recessed lighting. Gorgeous master suites with walk-in closets, oversized master baths with soaking tubs, walk-in showers, double vanities and beautiful quartz and stone detail.  Spacious second bedroom and guest bath. Other high-quality features include engineered flooring, ship-lap accent walls, video entrance monitoring, central ac, in unit washer/dryer, quality lighting, 9' ceilings, private storage area and 2 car garage-under parking.  Walking distance to local restaurants, coffee shops, gym, train stop, park and highly desired Westwood Schools.","",,"AN6243","AN6181","BB980711","BB902211","Norfolk","BB0960","Washington St",298,0,"Central Air",,,,,"Forced Air, Gas",2,2,,0,0,0,,,,"SLD",12/20/2022 5:49:00 AM,,0.00,"2022",,,,0,,,,3/21/2022 2:38:00 PM,,,"Security System, Intercom, Elevator",,,"03/04/2022","10/18/2022","10/18/2022",
"129 Twin Brook Lane U:129","Bellingham, MA","02019",,2,"1f 1h",330000.00,"11/21/2022",990,,0.00,1985,"CC",,,,90,349999.00,333.33,,,"Welcome to 129 Twin Brook Lane, Bellingham MA. This spacious town house features an open floor plan with a first floor bathroom, large living room and kitchen with plenty of natural light. Enjoy hosting family parties and cookouts on the oversized balcony off the kitchen or on the patio outside of the walk-out lower level. Both oversized bedrooms are located on the second floor and are separated by a full bathroom. Additionally, plenty of future living space is possible in the walkout lower level and could be finished and used as a home gym, office, or playroom. Conveniently located to shopping, fabulous restaurants, and highway access to route 495/95. Welcome to Bellingham!","",,"BB3975","BB3975","CN250085","CN250085","Norfolk","BB3975","Twin Brook Lane",129,1,"None",,,,,"Electric Baseboard",0,2,,2,0,0,,,"Frame","SLD",11/21/2022 2:36:00 PM,"Pending P&S",2925.00,"2021",,,,203000,,,,9/19/2022 1:52:00 PM,,,,,,"07/20/2022","10/17/2022","10/03/2022","10/17/2022"
"33 Chestnut St U:33","Franklin, MA","02038","3901",3,"1f 1h",370000.00,"11/28/2022",1122,,,2001,"CC",,,,13,400000.00,329.77,,,"Conveniently located to center of town! The 2x8 bump-out allows for an expansive living space in the front rooms of this beautiful half duplex. The farmers porch adds just the right touch to the exterior. The first floor offers a large family room, a 1/2 bath & a spacious eat-in kitchen with a slider to the back deck. The second floor includes 3 spacious bedrooms w/generous closet space and a full bath. Unfinished basement with lots of room for expanded finished space. Back yard is divided with a privacy fence and is tree-lined for additional privacy. #33 is the unit on the left.","Sellers reserve the right to accept an Offer at any time. Will update MLS if/when any Offer deadline is established. Please email any/all Offers as ONE PDF to thetodaroteam@gmail.com & include executed Agency Disclosure, preapproval and/or proof of funds, and a copy of Offer check.",,"AN1502","AN1502","CN249176","TM314236","Norfolk","BB1175","Chestnut St",33,1,"Central Air",,,,,"Forced Air, Gas",0,4,,4,0,0,,,"Modular","SLD",11/29/2022 9:47:00 AM,"Pending P&S",4438.00,"2022",,,,315900,,,,10/21/2022 1:02:00 PM,,,"Cable Available",,,"10/21/2022","11/03/2022","10/22/2022","11/05/2022"
"406 Franklin Crossing Rd U:406","Franklin, MA","02038","2925",2,"1f 0h",272500.00,"11/30/2022",939,,,2022,"CC",,,,6,270000.00,290.20,,,"Gorgeous condo in a prime location in a vibrant town with fine public schools, plenty of shopping and services, and easy access to I-495 and commuter rail to Boston. A 2nd floor unit facing the woods, the interior of this home was taken down to the studs and rebuilt in 2022. New walls, new ceilings, new flooring, new kitchen and bath, new vinyl windows, new wiring, new plumbing! Central air and town sewer, too! Brand new kitchen has tile flooring, white cabinets with dovetail joinery and soft-close drawers, and stainless-steel appliances. All-new bath simply glows! Master bedroom is 17 ft x 12 ft with two closets, one an 8 ft x 6 ft walk-in. Located in renovated Building 4 with all-new common areas! Franklin Crossing offers in-ground pool, tennis court and playground.","",,"AN7063","AN7061","CN233339","A0000711","Norfolk","AN4875","Franklin Crossing Rd",406,0,"Central Air, Heat Pump",,,,,"Forced Air, Heat Pump, Electric",0,2,,2,0,0,,,,"SLD",11/30/2022 2:48:00 PM,,1980.00,"2022",,,,140900,,,,10/19/2022 8:55:00 PM,,,"Intercom",,,"10/19/2022","10/25/2022","10/25/2022",
"69 Milliken ave U:5A","Franklin, MA","02038",,1,"1f 0h",125000.00,"12/09/2022",615,,0.00,1980,"CC",,,,7,119900.00,203.25,,,"INVESTORS !!  Property occupied and cannot be viewed by prospective buyers. CASH BUYERS  ONLY...  Unit in need of updating.  Seller reserves right to accept offer at anytime.","DO NOT DISTURB TENANTS....  Send all offers to :  Diane.venturerealtyllc@gmail.com in 1  PDF file.Smoke inspection and 6-d in hand.",,"AN1047","AN1047","CN243050","CN243050","Norfolk","AN1047","Milliken ave",69,0,"Wall AC",,,,,"Electric Baseboard",0,2,,2,0,0,,,"Brick","SLD",12/9/2022 5:56:00 PM,"Pending P&S",1027.76,"2022",,,,146300,,,,11/11/2022 8:59:00 AM,,,,,,"11/11/2022","11/18/2022","11/14/2022","11/27/2022"
"17 Hawthorne Village Drive U:D","Franklin, MA","02038",,2,"2f 1h",455500.00,"11/22/2022",2175,,,1985,"CC",,,,43,475000.00,209.43,,,"Want to save $$ and beat current rates???...Seller is willing to finance a 2/1 BUYDOWN.  It's time to check this one out and stop paying rent. See attached for details. FANTASTIC END UNIT w/ 2 CAR GARAGE & finished walk out lower level in sought after Hawthorne Village.  Open 1st floor concept w/ LR/DR combo w/ vaulted ceilings, skylights & slider out to the private back deck overlooking a wooded backdrop.  Cabinet packed kitchen & adjacent dining area w/ vaulted ceilings.  Bonus room on the first floor perfect as home office, den, gym, playroom?--you choose.  Mstr ste w/ private full bath & a tucked away sauna.   Addl bedroom, full bath & loft w/ so many possibilities.  But that's not all...head downstairs & check out the great finished space for a family room/ game room.  Plenty of storage in the unfinished areas.  Oh and if that weren't enough, how 'bout NEW carpet & freshly painted (1st & 2nd flrs), most windows replaced, TOWN WATER/SEWER/GAS, & pool/tennis/playground area.  Wow!","",,"AN4893","AN4893","CT005144","BB808049","Norfolk","BB1175","Hawthorne Village Drive",17,1,"Central Air",,,,,"Gas",2,6,,4,0,0,,,,"SLD",11/22/2022 1:49:00 PM,"Financing",4927.34,"2022",,,,350700,,,,10/10/2022 12:31:00 PM,,,,,,"09/22/2022","11/03/2022","10/20/2022","11/03/2022"
"16 Waterside Run U:16","Medway, MA","02053",,2,"2f 1h",719900.00,"11/17/2022",3182,,,2022,"CC",,,,3,719900.00,226.24,,,"Get Excited for Medway's Newest 55+ Homes! Willowside Medway, a new community of 54 inspiring townhomes for active adults alongside the winding banks of the Charles River. From farmer's porches and first floor owner suites to home offices and covered decks, Willowside has everything you are looking for in your dream home. Featuring over 2,400 square feet of living space, it includes 2 Beds, 2.5 Baths, Office, Loft, and finished Bonus Room plus an attached 2 car garage. The sprawling neighborhood is perfect for evening strolls or invigorating bike rides and hikes, with walking paths connecting to the Charles River's edge. Located at the intersection of Boston, Worcester, and Providence, and only 10 minutes to Route 495 N&S, and Commuter Rail stations in Franklin & Norfolk; It's easily accessible to what matters most-making the home you want yours.","This is an active construction site.  Buyer MUST be accompanied by the on-site LISTING AGENT who can be contacted at (888) 470-0014 or visit www.willowsidemedway.com. Commission based on base price and doesn't include options and upgrades or seller concessions.",,"AN4876","AN6527","TM342620","CN225668","Norfolk","AN7344","Waterside Run",16,1,"Central Air",,,,,"Central Heat, Forced Air, Gas",2,4,,2,0,0,,,"Frame, Conventional (2x4-2x6)","SLD",11/18/2022 8:29:00 AM,,0.00,"00",,,,0,,,,9/25/2022 8:32:00 PM,,,"Cable Available, Internet Available - Unknown",,,"09/25/2022","09/28/2022","09/28/2022",
"14 Sanford St U:23","Medway, MA","02053",,2,"1f 0h",330000.00,"11/15/2022",835,,,1890,"CC",,,,8,314000.00,395.21,,,"Welcome to Historic Sanford Mill Condos! This 2 bedroom, 2nd  floor unit has 15'+ high ceiling with similar height length windows letting in LOTS of Natural light!  This complex is situated along the Charles River with direct access to river for kayaking and canoeing.The Old World charm of the Old Mill Era boasts of charm with the exposed wood ceiling and wood beam construction complimented by original exposed brick. Custom built in shelving, track lighting in the living room and kitchen add to the ambiance of urban decor you see in many Mill Buildings.The kitchen was totally renovated by the previous owner in 2016, HVAC System was replaced in 2018, bathroom was updated in 2016, there is adequate closet space, in unit washer/dryer combo(negotiable), Water heater (2015), 2 Deeded Parking Spaces. Condo fee includes water/sewer. Great location with access to Rtes 495, 126, 16, 27 and the Commuter Rail. These units are selling fast! 1st showings @ Open House 9/29 5-6:30 and 10/1 11:30-1:00","",,"NB4344","NB4344","BB809556","BB302024","Norfolk","AN5549","Sanford St",14,0,"Central Air",,,,,"Heat Pump, Electric",0,2,,2,0,0,,,,"SLD",11/16/2022 10:43:00 AM,,4200.00,"2022",,,,248100,,,,9/27/2022 9:58:00 AM,,,"Cable Available",,,"09/25/2022","10/03/2022","10/03/2022",
