page_index,record_index,inst_raw,book_page_raw,ref_book_page_raw,recorded_at_raw,town_primary,address_primary,consideration_raw,descr_raw,parties_n
,,6015,23675-220,,01-27-2021 1:09:24p,SOUTHWICK,10 SAWGRASS LA,"130,000.00",SAWGRASS LA,2
,,6006,23675-181,,01-27-2021 1:02:22p,AGAWAM,35 FARMINGTON CIR,"270,000.00",FARMINGTON CIR,3
,,5992,23675-93,,01-27-2021 12:36:13p,HAMPDE,71 CIRCLE VIEW DR,1.00,CIRCLE VIEW DR,3
,,6006,23675-181,,01-27-2021 1:02:22p,LUDLOW,33 MORSE ST UNIT 3,"102,000.00",UNIT 3,4
,,6061,23675-461,,01-27-2021 2:00:56p,LUDLOW,33 MORSE ST UNIT 3,"210,000.00",,4
,,6047,23675-415,,01-27-2021 1:52:55p,SPRINGFIELD,174 LOCUST ST,,LOCUST ST,3
,,6043,23675-394,,01-27-2021 1:48:29p,CHICOPEE,9 POST RD,"170,000.00",POST RD,4
,,6039,23675-374,,01-27-2021 1:45:00p,CHICOPEE,181 GRANBY RD,"280,000.00",GRANBY RD,5
,,6033,23675-346,,01-27-2021 1:41:10p,MONSON,18 CARRIAGE HOUSE LA,,CARRIAGE HOUSE LA,3
,,6033,23675-346,,01-27-2021 1:41:10p,SPRINGFIELD,50 GLENCOE ST,"210,000.00",GLENCOE ST,1
,,6077,23675-570,,01-27-2021 2:18:19p,LONGMEADOW,13 GLENWOOD CIR,"171,000.00",GLENWOOD CIR,6
,,6075,23675-547,,01-27-2021 2:17:55p,SOUTHWICK,17 SAWGRASS LA,10.00,SAWGRASS LA,6
,,6071,23675-519,,01-27-2021 2:15:15p,WESTFIELD,18 WHISPERING WIND RD,1.00,WHISPERING WIND RD,3
,,6068,23675-490,,01-27-2021 2:08:05p,HOLLAND,15 FOREST DR,1.00,FOREST DR,3
,,6065,23675-483,,01-27-2021 2:05:59p,SPRINGFIELD,105 JOAN ST,"171,000.00",JOAN ST & LAND REG,2
,,6133,23676-214,,01-27-2021 3:37:55p,HOLYOKE,WHITNEY AVE,"257,500.00",,2
,,6131,23676-209,,01-27-2021 3:37:36p,WEST SPRINGFIELD,47 GIBSON WAY,1.00,UNIT 56,6
,,6121,23676-181,,01-27-2021 3:29:00p,PALMER,17 SASUR ST,1.00,SASUR ST,5
,,6105,23676-104,,01-27-2021 2:52:54p,LONGMEADOW,158 EDGEWOOD AVE,"257,500.00",EDGEWOOD AVE,3
,,6231,23676-567,23452-410,01-28-2021 9:47:39a,SPRINGFIELD,52 BUCLID AVE,"190,000.00",BUCLID AVE,2
,,6227,23676-538,,01-28-2021 9:45:17a,SOUTHWICK,21 SOUTHWICK RD UNIT 26B,1.00,UNIT 26B,5
,,6215,23676-494,,01-28-2021 9:29:22a,WILBRAHAM,26 PINE DR,1.00,PINE DR,3
,,6189,23676-387,,01-28-2021 9:06:26a,WEST SPRINGFIELD,32 COLONY RD UNIT 1A-32,"70,500.00","UNIT 1A32, 32-1",2
,,6168,23676-331,,01-28-2021 8:52:07a,CHICOPEE,33 GRATTAN ST,"425,000.00",GRATTAN ST,3
,,6161,23676-302,,01-28-2021 8:47:36a,BRIMFIELD,36 SEVENTH ST,"190,000.00",,1
,,6304,23677-227,,01-28-2021 11:59:18a,SPRINGFIELD,71 WILBRAHAM AVE,"80,000.00",WILBRAHAM AVE,6
,,6301,23677-208,,01-28-2021 11:57:05a,BAST LONGMEADOW,126 WESTWOOD AVE,"300,000.00",WESTWOOD AVE,1
,,6296,23677-189,,01-28-2021 11:52:14a,HAMPDE,252 EAST LONGMEADOW RD,1.00,EAST LONGMEADOW RD,3
,,6292,23677-183,,01-28-2021 11:42:04a,HOLYOKE,41 QUEEN ST,"286,000.00",QUEEN ST,3
,,6280,23677-152,,01-28-2021 11:30:38a,WESTFIELD,375 STEIGER DR,"349,900.00",STEIGER DR,3
,,6333,23677-450,,01-28-2021 12:26:15p,HOLYOKE,SAINT KOLBE DR UNIT 40A,"128,750.00",UNIT 40A,4
,,6332,23677-447,,01-28-2021 12:24:49p,SPRINGFIELD,80 ALDEN ST,"204,000.00",ALDEN ST,3
,,6325,23677-394,,01-28-2021 12:20:37p,BAST LONGMEADOW,51 SCANTIC DR,"245,000.00",SCANTIC DR,5
,,6319,23677-337,,01-28-2021 12:17:40p,CHESTER,664 ROUTE 20,10.00,ROUTE 20,1
,,6312,23677-278,,01-28-2021 12:08:50p,,,1.00,SUMMIT DR,2
,,6377,23678-59,,01-28-2021 1:16:02p,WESTFIELD,9 PARKER AVE,"180,000.00",PARKER AVE,3
,,6357,23677-573,,01-28-2021 1:00:07p,HOLYOKE,46 MAGNOLIA AVE,"258,000.00",MAGNOLIA AVE,5
,,6354,23677-568,,01-28-2021 12:56:46p,SPRINGFIELD,293 TYLER ST,"121,500.00",TYLER ST,3
,,6350,23677-548,,01-28-2021 12:49:17p,CHESTER,664 ROUTE 20,"54,900.00",ROUTE 20,3
,,6402,23678-212,,01-28-2021 2:04:09p,WESTFIELD,NORTH RD,1.00,ORTHAMPTON ST,6
,,6394,23678-147,,01-28-2021 1:37:18p,AGAWAM,38 DEPALMA ST,"279,900.00",DEPALMA ST,2
,,6389,23678-123,,01-28-2021 1:36:26p,WEST SPRINGFIELD,43 COLONY RD UNIT 1A,"75,000.00",UNIT 43-1,5
,,6385,23678-95,,01-28-2021 1:25:09p,WESTFIELD,124 NEW BROADWAY,"220,000.00",NEW BROADWAY,2
,,6440,23678-559,,01-28-2021 2:35:39p,SPRINGFIELD,1114-1116 LIBERTY ST,"200,000.00",LIBERTY ST,2
,,6436,23678-525,,01-28-2021 2:32:08p,LUDLOW,665 CENTER ST UNIT 304,"200,000.00",UNIT 304,2
,,6434,23678-521,,01-28-2021 2:32:08p,SOUTHWICK,81 PLEASANT DR,"235,000.00",PLEASANT DR,3
,,6433,23678-518,,01-28-2021 2:32:08p,HOLYOKE,154 SUFFOLK ST,,SUFFOLK ST,3
,,6428,23678-478,,01-28-2021 2:28:33p,HOLYOKE,154 SUFFOLK ST,"97,000.00",SUFFOLK ST,3
,,6416,23678-369,,01-28-2021 2:17:18p,HOLYOKE,97 NEWTON ST,"85,000.00",NEWTON ST,2
,,6406,23678-232,,01-28-2021 2:05:12p,AGAWAM,55 WILBERT TERR,"410,000.00",WILBERT TERR,4
,,6470,23679-69,,01-28-2021 3:11:47p,AGAWAM,55 WILBERT TERR,1.00,,4
,,6467,23679-63,,01-28-2021 3:07:26p,HOLYOKE,37 SAINT KOLBE DR UNIT D,"89,900.00",UNIT 37D,4
,,6454,23679-42,,01-28-2021 2:54:37p,SPRINGFIELD,141 FOREST PARK AVE,"197,999.00",FOREST PARK AVE,7
,,6449,23678-600,,01-28-2021 2:42:46p,HAMPDE,122 THRESHER RD,"197,999.00",THRESHER RD,2
,,6445,23678-581,,01-28-2021 2:41:24p,WEST SPRINGFIELD,143 FORST GLEN RD,1.00,FOREST GLEN RD,1
,,6493,23679-153,,01-28-2021 3:46:35p,SPRINGFIELD,40 TULSA ST,"266,500.00",TULSA ST,3
,,6490,23679-133,,01-28-2021 3:45:04p,WALES,16 AINSWORTH HILL RD,,AINSWORTH HILL RD,3
,,6478,23679-95,,01-28-2021 3:31:29p,SPRINGFIELD,44 WASHINGTON RD,,WASHINGTON RD,6
,,6477,23679-92,,01-28-2021 3:22:50p,HOLYOKE,37 SAINT KOLBE DR UNIT D,,UNIT D,3
,,6474,23679-74,,01-28-2021 3:18:21p,SPRINGFIELD,11 LAURELWOOD LA,"200,000.00",LAURELWOOD LA,4
,,6502,23679-200,,01-28-2021 3:57:40p,SPRINGFIELD,94 FORT PLEASANT AVE,"1,100,000.00",FORT PLEASANT AVE,2
,,6497,23679-178,,01-28-2021 3:47:49p,HOLYOKE,5 ADAMS ST,"220,000.00",ADAMS ST,2
,,6647,23680-396,,01-29-2021 9:57:39a,CHICOPEE,310 FRONT ST,"819,000.00",FRONT ST,1
,,6635,23680-310,,01-29-2021 9:51:01a,SPRINGFIELD,24 BEECHWOOD AVE,100.00,BEECHWOOD AVE,2
,,6604,23680-202,,01-29-2021 9:36:04a,SPRINGFIELD,60 ASPEN RD,"240,000.00",ASPEN RD,4
,,6598,23680-169,,01-29-2021 9:27:53a,LONGMEADOW,93 WHEELMEADOW DR,"560,000.00",WHEELMEADOW DR,4
,,6557,23679-385,,01-29-2021 8:55:17a,CHICOPEE,185 CHICOPEE ST,"30,000.00",CHICOPEE ST,2
,,6537,23679-292,,01-29-2021 8:43:58a,WESTFIELD,28 STUART PL,10.00,STUART PL,1
,,6666,23680-512,,01-29-2021 10:23:52a,PALMER,17 RUGGLES ST,"110,000.00",RUGGLES ST,8
,,6658,23680-457,,01-29-2021 10:19:19a,MONSO,PARADISE LAKE RD,"170,000.00",HILLTOP DR &0O,5
,,6656,23680-452,,01-29-2021 10:10:50a,LUDLOW,ALDEN ST,"93,000.00",ALDEN ST,4
,,6651,23680-439,,01-29-2021 10:06:53a,LUDLOW,16-18 CYPRESS ST,1.00,CYPRESS ST,3
,,6648,23680-399,,01-29-2021 9:58:03a,SPRINGFIELD,797 WHITE ST,"110,000.00",WHITE ST,0
,,6749,23681-284,,01-29-2021 12:00:33p,CHICOPEE,63 FREDETTE ST,"375,000.00",FREDETTE ST,1
,,6746,23681-279,,01-29-2021 11:57:30a,BRIMFIELD,60 CUBLES DR,1.00,CUBLES DR,5
,,6738,23681-248,,01-29-2021 11:53:39a,CHICOPEE,153 VADNAIS ST,"310,000.00",VADNAIS ST,4
,,6727,23681-208,,01-29-2021 11:42:00a,CHICOPEE,384 SPRINGFIELD ST,,SPRINGFIELD ST,7
,,6720,23681-180,,01-29-2021 11:34:22a,LONGMEADOW,447 LONGMEADOW ST,"405,000.00",LONGMEADOW ST,3
,,6779,23681-448,,01-29-2021 12:34:51p,SPRINGFIELD,372-274 FRANKLIN ST,"180,000.00",FRANKLIN ST,3
,,6773,23681-434,,01-29-2021 12:31:48p,SPRINGFIELD,78-80 RITTENHOUSE TERR,1.00,RITTENHOUSE TERR,3
,,6771,23681-417,,01-29-2021 12:26:58p,SPRINGFIELD,28 KAZBECK ST,"130,000.00",KAZBECK ST,3
,,6768,23681-401,,01-29-2021 12:21:51p,CHICOPEE,250 SCHOOL ST,"130,000.00",SCHOOL ST,3
,,6766,23681-396,,01-29-2021 12:21:30p,LUDLOW,546 FULLER ST,1.00,FULLER ST,3
,,6757,23681-316,,01-29-2021 12:13:30p,CHICOPEE,581 SPRINGFIELD ST,"250,000.00",SPRINGFIELD ST,2
,,6819,23682-82,,01-29-2021 1:10:39p,WILBRAHAM,2773-2775 BOSTON RD,"275,000.00",BOSTON RD,6
,,6803,23681-575,,01-29-2021 12:55:52p,LUDLOW,76 ROOD ST,"291,500.00",ROOD ST,4
,,6800,23681-556,,01-29-2021 12:55:28p,MONSON,3 WOODRIDGE RD,"230,000.00",WOODRIDGE RD,2
,,6797,23681-540,,01-29-2021 12:54:54p,SPRINGFIELD,9-11 RADNER ST,1.00,RADNER ST,5
,,6789,23681-492,,01-29-2021 12:44:50p,SOUTHWICK,5 EVERGREEN ST,"250,000.00",EVERGREEN ST,2
,,6784,23681-469,,01-29-2021 12:37:53p,HOLYOKE,23 DICSAL LA,1.00,DICSAL LA,3
,,6860,23682-251,,01-29-2021 1:30:06p,HOLYOKE,23 DICSAL LA,"20,000.00",,3
,,6857,23682-230,,01-29-2021 1:28:06p,HOLYOKE,23 DICSAL LA,"335,888.00",DICSAL LA,3
,,6849,23682-189,,01-29-2021 1:23:53p,AGAWAM,10 MANSION WOODS UNIT H,"230,000.00",UNIT 10-H,2
,,6842,23682-149,,01-29-2021 1:18:26p,PALMER,53 COMMERCIAL ST,"174,900.00",COMMERCIAL ST,3
,,6827,23682-107,,01-29-2021 1:17:52p,SPRINGFIELD,55 BLODGETT ST,"182,900.00",BLODGETT ST,2
,,6820,23682-85,,01-29-2021 1:10:39p,AGAWAM,39 ROBIN RIDGE DR,1.00,ROBIN RIDGE DR,4
,,6820,23682-85,,01-29-2021 1:10:39p,SOUTHWICK,145 SOUTH LONGYARD RD,1.00,SOUTH LONGYARD RD,2
,,6885,23682-362,,01-29-2021 1:40:00p,SOUTHWICK,145 SOUTH LONGYARD RD,"195,000.00",,2
,,6881,23682-345,,01-29-2021 1:39:51p,HOLYOKE,2010 ORTHAMPTON ST,"185,000.00",NORTHAMPTON ST,3
,,6871,23682-309,,01-29-2021 1:36:35p,CHICOPEE,SYCAMORE LA,"400,000.00",SYCAMORE LA,3
,,6868,23682-293,,01-29-2021 1:35:57p,LONGMEADOW,41 ROSELAND TERR,"393,000.00",ROSELAND TERR,4
,,6865,23682-275,,01-29-2021 1:34:19p,LUDLOW,614 MOORE ST,"259,000.00",MOORE ST,3
,,6865,23682-275,,01-29-2021 1:34:19p,CHICOPEE,77 MEADOW ST,"195,000.00",MEADOW ST,3
,,6909,23682-473,,01-29-2021 1:54:30p,SPRINGFIELD,88 JARDINE ST,"194,900.00",JARDINE ST,2
,,6907,23682-469,,01-29-2021 1:53:26p,CHICOPEE,20 ALFRED ST,"250,000.00",ALFRED ST,4
,,6903,23682-445,,01-29-2021 1:50:23p,WEST SPRINGFIELD,69 WITCH PATH,1.00,WITCH PATH,3
,,6902,23682-443,,01-29-2021 1:49:54p,BAST LONGMEADOW,131 DWIGHT RD,"205,000.00",DWIGHT RD,2
,,6899,23682-426,,01-29-2021 1:48:21p,LONGMEADOW,133 LAWNWOOD AVE,"120,000.00",LAWNWOOD AVE,3
,,6892,23682-404,,01-29-2021 1:47:18p,SPRINGFIELD,53 ABBOTT ST,"275,000.00",ABBOTT ST,2
,,6955,23683-74,,01-29-2021 2:22:48p,SPRINGFIELD,259 CUFF AVE,"198,000.00",CUFF AVE,4
,,6942,23683-39,,01-29-2021 2:11:54p,TOLLAND,WOODCHUCK HOLLOW RD,,WOODCHUCK HOLLOW RD,2
,,6940,23683-18,,01-29-2021 2:09:57p,LONGMEADOW,14 RIVERVIEW AVE,"263,000.00",RIVERVIEW AVE,3
,,6934,23682-596,,01-29-2021 2:09:16p,WESTFIELD,11 KNOLLWOOD DR,"266,000.00",KNOLLWOOD DR,3
,,6925,23682-586,,01-29-2021 2:06:01p,CHICOPEE,26-28 CHATHAUGAY ST,"6,000.00",CHATEAUGAY ST,3
,,6920,23682-564,,01-29-2021 2:01:53p,SPRINGFIELD,49 MERIDA ST,"160,000.00",MERIDA ST,1
,,6995,23683-253,,01-29-2021 2:39:42p,RUSSELL,146 HUNTINGTON RD,"325,000.00",HUNTINGTON RD,3
,,6983,23683-206,,01-29-2021 2:36:13p,HOLYOKE,5 CANAL ST,"365,000.00",CANAL ST,3
,,6972,23683-176,,01-29-2021 2:30:53p,WESTFIELD,CLINTON AVE,"299,900.00",,2
,,6969,23683-173,1988-448,01-29-2021 2:28:45p,AGAWAM,71 FLORIDA DR,"299,900.00",FLORIDA DR,5
,,6964,23683-132,,01-29-2021 2:25:26p,SPRINGFIELD,97 PARKSIDE ST,"210,000.00",PARKSIDE ST,3
,,6960,23683-108,,01-29-2021 2:24:25p,AGAWAM,22 SILVER ST,"127,000.00",SILVER ST,2
,,7041,23683-448,,01-29-2021 3:08:45p,SPRINGFIELD,139 PORTER LAKE DR,"345,000.00",UNIT 139,2
,,7021,23683-355,,01-29-2021 2:57:45p,WESTFIELD,10 GREENWOOD ST UNIT G,"113,000.00",UNIT 7,5
,,7012,23683-326,253-255,01-29-2021 2:52:57p,WESTFIELD,20 CLINTON AVE,"80,000.00",CLINTON AVE,3
,,7007,23683-311,,01-29-2021 2:49:19p,SPRINGFIELD,253-255 MILL ST,"250,000.00",MILL ST,3
,,7006,23683-308,,01-29-2021 2:46:41p,CHICOPEE,43 GRACE ST,"257,500.00",GRACE ST,1
,,7000,23683-278,,01-29-2021 2:46:25p,SPRINGFIELD,97-99 PROSPECT ST,"222,000.00",PROSPECT ST,1
,,7073,23684-30,,01-29-2021 3:24:42p,WESTFIELD,110 LOCKHOUSE RD UNIT 4G,"289,900.00",UNIT 4G,2
,,7071,23683-592,,01-29-2021 3:22:04p,SPRINGFIELD,195 GLENOAK DR,"235,000.00",GLENOAK DR,1
,,7069,23683-582,,01-29-2021 3:18:34p,CHICOPEE,295 BRITTON ST,"189,900.00",BRITTON ST,3
,,7067,23683-565,,01-29-2021 3:18:31p,CHICOPEE,563-565 SPRINGFIELD ST,"255,000.00",SPRINGFIELD ST,2
,,7063,23683-539,,01-29-2021 3:16:41p,SPRINGFIELD,25-27 NYE ST,"153,000.00",NYE ST,2
,,7049,23683-475,,01-29-2021 3:09:54p,CHICOPEE,21 DEPOT ST,"115,000.00",DEPOT ST,3
,,7045,23683-468,,01-29-2021 3:09:09p,MONSON,308 MAIN ST,"239,900.00",MAIN ST,2
,,7097,23684-123,,01-29-2021 3:32:22p,MONSON,308 MAIN ST,,,2
,,7096,23684-120,,01-29-2021 3:32:22p,SPRINGFIELD,61 ORLANDO ST,"89,000.00",ORLANDO ST,3
,,7080,23684-67,,01-29-2021 3:26:57p,SPRINGFIELD,119-121 JOHNSON ST,"175,000.00",JOHNSON ST,2
,,7078,23684-49,,01-29-2021 3:25:18p,SPRINGFIELD,46 RINGGOLD ST,1.00,RINGGOLD ST,1
,,7076,23684-46,,01-29-2021 3:24:49p,CHICOPEE,32 DAWN ST,"89,000.00",DAWN ST,5
,,7076,23684-46,,01-29-2021 3:24:49p,CHICOPEE,213 COLLEGE ST,"89,000.00",COLLEGE ST,5
,,7142,23684-338,,01-29-2021 4:02:35p,CHICOPEE,70 NORMAN ST,"220,000.00",NORMAN ST,5
,,7132,23684-290,,01-29-2021 3:58:10p,SPRINGFIELD,53 SENECA ST,"189,500.00",SENECA ST,3
,,7122,23684-263,,01-29-2021 3:54:37p,PALMER,58 OLNEY RD,"345,000.00",OLNEY RD,2
,,7111,23684-208,,01-29-2021 3:43:28p,SPRINGFIELD,47 BITHER ST,"250,000.00",BITHER ST,2
,,7105,23684-184,,01-29-2021 3:39:01p,WEST SPRINGFIELD,95 PARK AVE #20,"107,500.00",INIT 95-20,4
,,7098,23684-126,,01-29-2021 3:32:22p,LUDLOW,71 CREST ST,"220,000.00",CREST ST,2
,,7146,23684-359,,01-29-2021 4:07:18p,AGAWAM,22 SILVER ST,"165,000.00",SILVER ST,3
,,7249,23685-344,22128-44,02-01-2021 10:16:28a,HOLYOKE,77 WEST ST,"104,475.00",WEST ST,1
,,7230,23685-238,,02-01-2021 9:56:28a,SPRINGFIELD,136 WALNUT ST,"100,000.00",WALNUT ST,3
,,7213,23685-168,,02-01-2021 9:38:05a,HOLYOKE,341 APPLETON ST,"187,000.00",APPLETON ST,3
,,7201,23685-91,,02-01-2021 9:21:21a,WEST SPRINGFIELD,381 BRUSH HILL AVE,10.00,BRUSH HILL AVE,6
,,7199,23685-87,,02-01-2021 9:18:28a,SPRINGFIELD,104 OLD LANE RD,"196,000.00",OLD LANE RD,3
,,7169,23684-468,,02-01-2021 8:45:37a,SOUTHWICK,LAKEVIEW ST,"104,475.00",,0
,,7342,23686-84,,02-01-2021 11:23:39a,SPRINGFIELD,132 MAYNARD ST,1.00,MAYNARD ST,11
,,7340,23686-81,,02-01-2021 11:21:40a,SPRINGFIELD,43 WINDING LA,"235,000.00",WINDING LA,2
,,7294,23685-549,,02-01-2021 10:57:21a,HAMPDE,27 SOUTH MONSON RD,1.00,SOUTH MONSON RD,7
,,7268,23685-417,,02-01-2021 10:38:53a,SPRINGFIELD,600 ALDEN ST,"235,000.00",,0
,,7398,23686-259,,02-01-2021 11:54:25a,WILBRAHAM,24 SANDALWOOD DR UNIT 24,"378,500.00",UNIT 24,8
,,7384,23686-230,,02-01-2021 11:50:29a,SPRINGFIELD,4 RANDALL PL,1.00,RANDALL PL,3
,,7379,23686-205,,02-01-2021 11:48:05a,AGAWAM,21 ASH LA,"225,000.00",UNIT 21,4
,,7372,23686-168,,02-01-2021 11:41:34a,CHICOPEE,200 LAMBERT TERR UNIT 37,"205,000.00",UNIT 37,3
,,7368,23686-160,,02-01-2021 11:38:35a,SPRINGFIELD,256 GRESHAM ST,"205,000.00",GRESHAM ST,2
,,7451,23686-547,,02-01-2021 12:18:05p,WESTFIELD,5 MAGNOLIA TERR,"472,000.00",MAGNOLIA TERR,4
,,7430,23686-425,,02-01-2021 12:06:01p,CHICOPEE,200 LAMBERT TERR UNIT 43,"184,900.00",UNIT 43,2
,,7425,23686-401,,02-01-2021 12:04:08p,HOLYOKE,BULLARD AVE,"515,000.00","MONTGOMERY, BULLARD AVES",4
,,7421,23686-376,,02-01-2021 12:03:56p,HOLYOKE,79-81 TAYLOR ST,"232,000.00",TAYLOR ST,3
,,7417,23686-355,,02-01-2021 12:02:29p,CHICOPEE,930 MCKINSTRY AVE,"250,000.00",MCKINSTRY AVE,3
,,7409,23686-326,,02-01-2021 12:00:20p,SPRINGFIELD,22 THORNFELL ST,"118,500.00",THORNFELL ST,1
,,7518,23687-220,,02-01-2021 2:30:33p,SPRINGFIELD,95-97 SUFFOLK ST,"230,000.00",SUFFOLK ST,4
,,7499,23687-136,,02-01-2021 1:29:40p,LUDLOW,64 KIRKLAND AVE,"252,000.00",KIRKLAND AVE,3
,,7477,23687-51,,02-01-2021 12:40:39p,SPRINGFIELD,92 ACUSHNET AVE,"225,000.00",ACUSHNET AVE,2
,,7470,23687-25,,02-01-2021 12:38:50p,CHICOPEE,114 SIMONICH CIR,1.00,SIMONICH CIR,2
,,7463,23686-596,,02-01-2021 12:29:19p,SPRINGFIELD,76-80 WOODSIDE TERR,"252,000.00",WOODSIDE TERR,3
,,7455,23686-553,,02-01-2021 12:24:06p,BAST LONGMEADOW,87 GATES AVE,"299,900.00",GATES AVE,2
,,7538,23687-281,,02-01-2021 3:06:29p,SPRINGFIELD,11 CHASE AVE,"164,850.00",CHASE AVE,5
,,7534,23687-260,,02-01-2021 3:04:30p,WESTFIELD,34 SQUAWFIELD RD,"219,000.00",SQUAWFIELD RD,4
,,7528,23687-249,,02-01-2021 2:58:04p,SPRINGFIELD,3 ELAINE CIR,"350,000.00",ELAINE CIR,2
,,7696,23688-492,,02-02-2021 1:42:57p,SPRINGFIELD,25 TOURIGNY ST,"175,000.00",TOURIGNY ST,2
,,7694,23688-470,,02-02-2021 1:38:56p,AGAWAM,178 SCHOOL ST,"315,000.00",SCHOOL ST,3
,,7681,23688-416,,02-02-2021 12:44:25p,HOLYOKE,293-297 PLEASANT ST,"350,000.00",PLEASANT ST,3
,,7669,23688-355,,02-02-2021 11:40:55a,CHICOPEE,168 BRITTON ST,"350,000.00",BRITTON ST,3
,,7646,23688-197,,02-02-2021 10:17:16a,CHICOPEE,41 SAINT ONGE ST,1.00,SAINT ONGE ST,3
,,7641,23688-169,,02-02-2021 9:59:28a,WESTFIELD,64 PEQUOT POINT RD,"55,000.00",PEQUOT POINT RD,2
,,7734,23689-71,,02-02-2021 2:24:56p,WESTFIELD,64 PEQUOT POINT RD,"55,000.00",PEQUOT POINT RD,2
,,7730,23689-35,,02-02-2021 2:16:19p,SPRINGFIELD,39 LAFAYETTE ST,"75,000.00",AFAYETTE ST,4
,,7719,23688-590,,02-02-2021 2:05:46p,SPRINGFIELD,67 JEFFREY RD,"225,000.00",JEFFREY RD,3
,,7713,23688-555,,02-02-2021 2:00:21p,SPRINGFIELD,240 CENTRE ST,"165,000.00",CENTRE ST,3
,,7710,23688-538,,02-02-2021 1:55:11p,WESTFIELD,297 RUSSELL RD,"400,000.00",RUSSELL RD,4
,,7697,23688-495,,02-02-2021 1:42:57p,SPRINGFIELD,235 CONNECTICUT AVE,"205,000.00",CONNECTICUT AVE,2
,,7768,23689-263,,02-02-2021 3:59:20p,CHICOPEE,24-26 NASH ST,1.00,ASH ST,4
,,7759,23689-224,,02-02-2021 3:35:42p,WILBRAHAM,12 DELMOR CIR,"252,000.00",DELMOR CIR,4
,,7750,23689-161,,02-02-2021 3:02:16p,SPRINGFIELD,238 NEWHOUSE ST,"217,000.00",EWHOUSE ST,3
,,7744,23689-142,,02-02-2021 2:53:24p,PALMER,82 WATER ST,"105,000.00",WATER ST,3
,,7886,23690-182,,02-03-2021 11:01:20a,AGAWAM,467 PINE ST,10.00,PINE ST,5
,,7860,23690-106,,02-03-2021 10:24:05a,SPRINGFIELD,22 DWIGHT RD,,DWIGHT RD,3
,,7857,23690-100,,02-03-2021 10:16:19a,PALMER,41 CHUDY ST,,CHUDY ST,2
,,7839,23690-7,,02-03-2021 9:47:04a,SPRINGFIELD,919 WILBRAHAM RD,1.00,WILBRAHAM RD,3
,,7817,23689-496,,02-03-2021 9:09:06a,WEST SPRINGFIELD,180 HARWICH RD,,HARWICH RD,3
,,7782,23689-333,,02-03-2021 8:41:42a,MONSO,14 MAIN ST,"242,000.00",MAIN ST,0
,,7956,23690-471,,02-03-2021 1:25:34p,AGAWAM,263 ELM ST,"270,000.00",ELM ST,7
,,7952,23690-454,,02-03-2021 1:25:27p,EAST LONGMEADOW,47 DEARBORN ST,"107,000.00",DEARBORN ST,4
,,7950,23690-451,,02-03-2021 1:19:41p,HOLYOKE,314 APREMONT HGY,,APREMONT HGY,4
,,7928,23690-370,,02-03-2021 12:33:55p,SPRINGFIELD,101 LARKSPUR ST,"205,000.00",LARKSPUR ST,4
,,7924,23690-348,,02-03-2021 12:33:05p,WEST SPRINGFIELD,60 TERRY RD,"345,000.00",TERRY RD,3
,,8022,23691-248,,02-03-2021 3:07:37p,SPRINGFIELD,17-19 BIRCH ST,,,2
,,8013,23691-209,,02-03-2021 3:01:17p,SPRINGFIELD,28 RUTLEDGE AVE,"240,000.00",RUTLEDGE AVE,3
,,8005,23691-175,,02-03-2021 2:37:34p,SPRINGFIELD,52 BEXHILL ST,,BEXHILL ST,7
,,8000,23691-144,,02-03-2021 2:35:26p,HOLLAND,5 HAMILTO DR,"384,000.00",HAMILTON DR,8
,,8054,23691-455,,02-03-2021 3:57:12p,WEST SPRINGFIELD,41 LANCASTER AVE,1.00,LANCASTER AVE,3
,,8038,23691-373,,02-03-2021 3:36:09p,AGAWAM,116 EDWARD ST,1.00,EDWARD ST,3
,,8031,23691-348,,02-03-2021 3:18:50p,SPRINGFIELD,17 SKYRIDGEH LA,"310,000.00",SKYRIDGE LA,5
,,8029,23691-343,,02-03-2021 3:15:14p,HOLYOKE,35 HOLY FAMILY RD,"2,000,000.00",HOLY FAMILY RD,2
,,8027,23691-338,,02-03-2021 3:12:10p,WESTFIELD,204 RUSSELL RD UNIT C,1.00,UNIT C,7
,,8141,23692-255,,02-04-2021 9:39:27a,WALES,80 MCBRIDE RD,"357,000.00",MCBRIDE RD,4
,,8080,23691-544,,02-04-2021 8:50:34a,SOUTHWICK,51 WILL PALMER RD,1.00,WILL PALMER RD,6
,,8077,23691-528,,02-04-2021 8:49:32a,CHICOPEE,120 TAYLOR ST,"100,000.00",TAYLOR ST,3
,,8074,23691-522,,02-04-2021 8:44:52a,CHICOPEE,132 MARYLAND AVE,"243,800.00",MARYLAND AVE,6
,,8063,23691-480,,02-04-2021 8:33:57a,CHICOPEE,75 YORKTOWN CT UNIT 75,"160,000.00",UNIT 75,4
,,8258,23692-595,,02-04-2021 12:26:33p,LUDLOW,125 FULLER ST,1.00,FULLER ST,9
,,8250,23692-569,,02-04-2021 12:02:59p,WILBRAHAM,10 VICTORIA LA,"292,000.00",VICTORIA LA,3
,,8226,23692-485,,02-04-2021 11:27:54a,PALMER,61 FRENCH DR,"36,500.00",FRENCH DR,2
,,8215,23692-439,,02-04-2021 11:20:28a,SPRINGFIELD,129 HOOD ST,1.00,HOOD ST,3
,,8157,23692-296,,02-04-2021 10:04:25a,MONSON,275 LOWER HAMPDEN RD,"292,000.00",LOWER HAMPDEN RD,2
